r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.7665         6.13607e+22         0.469102            
0.767          6.11492e+22         0.467486            
0.7675         6.0885e+22          0.465466            
0.768          6.06207e+22         0.463445            
0.7685         6.03565e+22         0.461425            
0.769          6.00922e+22         0.459405            
0.7695         5.9828e+22          0.457385            
0.77           5.95637e+22         0.455364            
0.7705         5.93523e+22         0.453748            
0.771          5.9088e+22          0.451728            
0.7715         5.88238e+22         0.449708            
0.772          5.85595e+22         0.447688            
0.7725         5.82953e+22         0.445667            
0.773          5.80839e+22         0.444051            
0.7735         5.78196e+22         0.442031            
0.774          5.75553e+22         0.440011            
0.7745         5.73439e+22         0.438394            
0.775          5.70797e+22         0.436374            
0.7755         5.68154e+22         0.434354            
0.776          5.65512e+22         0.432334            
0.7765         5.63398e+22         0.430717            
0.777          5.60755e+22         0.428697            
0.7775         5.58641e+22         0.427081            
0.778          5.55998e+22         0.425061            
0.7785         5.53356e+22         0.42304             
0.779          5.51242e+22         0.421424            
0.7795         5.48599e+22         0.419404            
0.78           5.46485e+22         0.417788            
0.7805         5.43842e+22         0.415768            
0.781          5.412e+22           0.413747            
0.7815         5.39086e+22         0.412131            
0.782          5.36443e+22         0.410111            
0.7825         5.34329e+22         0.408495            
0.783          5.31687e+22         0.406474            
0.7835         5.29573e+22         0.404858            
0.784          5.27141e+22         0.403               
0.7845         5.24763e+22         0.401181            
0.785          5.22438e+22         0.399404            
0.7855         5.20059e+22         0.397585            
0.786          5.17734e+22         0.395807            
0.7865         5.15408e+22         0.39403             
0.787          5.13083e+22         0.392252            
0.7875         5.10757e+22         0.390474            
0.788          5.08432e+22         0.388696            
0.7885         5.06106e+22         0.386918            
0.789          5.03834e+22         0.385181            
0.7895         5.01508e+22         0.383403            
0.79           4.99236e+22         0.381666            
0.7905         4.96963e+22         0.379928            
0.791          4.94691e+22         0.378191            
0.7915         4.92418e+22         0.376453            
0.792          4.90145e+22         0.374716            
0.7925         4.87873e+22         0.372979            
0.793          4.85653e+22         0.371282            
0.7935         4.8338e+22          0.369544            
0.794          4.81161e+22         0.367847            
0.7945         4.78941e+22         0.36615             
0.795          4.76668e+22         0.364413            
0.7955         4.74448e+22         0.362716            
0.796          4.72281e+22         0.361059            
0.7965         4.70062e+22         0.359362            
0.797          4.67842e+22         0.357665            
0.7975         4.65675e+22         0.356009            
0.798          4.63455e+22         0.354312            
0.7985         4.61288e+22         0.352655            
0.799          4.59121e+22         0.350998            
0.7995         4.56902e+22         0.349301            
0.8            4.54735e+22         0.347645            
0.8005         4.52621e+22         0.346029            
0.801          4.50454e+22         0.344372            
0.8015         4.48287e+22         0.342715            
0.802          4.46173e+22         0.341099            
0.8025         4.44006e+22         0.339442            
0.803          4.41892e+22         0.337826            
0.8035         4.39778e+22         0.33621             
0.804          4.37664e+22         0.334594            
0.8045         4.3555e+22          0.332978            
0.805          4.33436e+22         0.331361            
0.8055         4.31322e+22         0.329745            
0.806          4.29207e+22         0.328129            
0.8065         4.27146e+22         0.326553            
0.807          4.25085e+22         0.324977            
0.8075         4.22971e+22         0.323361            
0.808          4.2091e+22          0.321786            
0.8085         4.18849e+22         0.32021             
0.809          4.16787e+22         0.318634            
0.8095         4.14726e+22         0.317058            
0.81           4.12665e+22         0.315482            
0.8105         4.10657e+22         0.313947            
0.811          4.08595e+22         0.312371            
0.8115         4.06587e+22         0.310836            
0.812          4.04579e+22         0.3093              
0.8125         4.02517e+22         0.307725            
0.813          4.00509e+22         0.306189            
0.8135         3.98501e+22         0.304654            
0.814          3.96492e+22         0.303118            
0.8145         3.94537e+22         0.301623            
0.815          3.92528e+22         0.300088            
0.8155         3.9052e+22          0.298553            
0.816          3.88565e+22         0.297058            
0.8165         3.86556e+22         0.295522            
0.817          3.84601e+22         0.294027            
0.8175         3.82645e+22         0.292532            
0.818          3.8069e+22          0.291037            
0.8185         3.78734e+22         0.289542            
0.819          3.76779e+22         0.288047            
0.8195         3.74876e+22         0.286593            
0.82           3.72921e+22         0.285098            
0.8205         3.71018e+22         0.283643            
0.821          3.69062e+22         0.282148            
0.8215         3.6716e+22          0.280694            
0.822          3.65257e+22         0.279239            
0.8225         3.63354e+22         0.277784            
0.823          3.61452e+22         0.27633             
0.8235         3.59549e+22         0.274875            
0.824          3.57646e+22         0.273421            
0.8245         3.55797e+22         0.272007            
0.825          3.53894e+22         0.270552            
0.8255         3.52044e+22         0.269138            
0.826          3.50142e+22         0.267683            
0.8265         3.48292e+22         0.266269            
0.827          3.46442e+22         0.264855            
0.8275         3.44592e+22         0.263441            
0.828          3.42742e+22         0.262026            
0.8285         3.40945e+22         0.260653            
0.829          3.39096e+22         0.259239            
0.8295         3.37246e+22         0.257824            
0.83           3.35449e+22         0.256451            
0.8305         3.33599e+22         0.255036            
0.831          3.31802e+22         0.253663            
0.8315         3.30005e+22         0.252289            
0.832          3.28208e+22         0.250915            
0.8325         3.26411e+22         0.249541            
0.833          3.24614e+22         0.248168            
0.8335         3.22817e+22         0.246794            
0.834          3.2102e+22          0.24542             
0.8345         3.19276e+22         0.244087            
0.835          3.17479e+22         0.242713            
0.8355         3.15735e+22         0.24138             
0.836          3.13991e+22         0.240046            
0.8365         3.12247e+22         0.238713            
0.837          3.10503e+22         0.237379            
0.8375         3.08759e+22         0.236046            
0.838          3.07015e+22         0.234713            
0.8385         3.05271e+22         0.233379            
0.839          3.03526e+22         0.232046            
0.8395         3.01835e+22         0.230753            
0.84           3.00091e+22         0.22942             
0.8405         2.984e+22           0.228127            
0.841          2.96709e+22         0.226834            
0.8415         2.94965e+22         0.2255              
0.842          2.93273e+22         0.224207            
0.8425         2.91582e+22         0.222914            
0.843          2.89891e+22         0.221621            
0.8435         2.88252e+22         0.220369            
0.844          2.86561e+22         0.219076            
0.8445         2.8487e+22          0.217783            
0.845          2.83231e+22         0.21653             
0.8455         2.81593e+22         0.215278            
0.846          2.79902e+22         0.213985            
0.8465         2.78263e+22         0.212732            
0.847          2.76625e+22         0.21148             
0.8475         2.74987e+22         0.210227            
0.848          2.73348e+22         0.208975            
0.8485         2.7171e+22          0.207722            
0.849          2.70124e+22         0.20651             
0.8495         2.68486e+22         0.205257            
0.85           2.66847e+22         0.204005            
0.8505         2.65262e+22         0.202793            
0.851          2.63676e+22         0.201581            
0.8515         2.62038e+22         0.200328            
0.852          2.60452e+22         0.199116            
0.8525         2.58867e+22         0.197904            
0.853          2.57281e+22         0.196692            
0.8535         2.55696e+22         0.195479            
0.854          2.54163e+22         0.194308            
0.8545         2.52578e+22         0.193096            
0.855          2.51045e+22         0.191924            
0.8555         2.49459e+22         0.190712            
0.856          2.47927e+22         0.18954             
0.8565         2.46341e+22         0.188328            
0.857          2.44808e+22         0.187156            
0.8575         2.43276e+22         0.185984            
0.858          2.41743e+22         0.184813            
0.8585         2.4021e+22          0.183641            
0.859          2.3873e+22          0.182509            
0.8595         2.37198e+22         0.181338            
0.86           2.35665e+22         0.180166            
0.8605         2.34185e+22         0.179035            
0.861          2.32653e+22         0.177863            
0.8615         2.31173e+22         0.176732            
0.862          2.29693e+22         0.1756              
0.8625         2.2816e+22          0.174428            
0.863          2.2668e+22          0.173297            
0.8635         2.252e+22           0.172166            
0.864          2.23773e+22         0.171075            
0.8645         2.22294e+22         0.169943            
0.865          2.20814e+22         0.168812            
0.8655         2.19334e+22         0.167681            
0.866          2.17907e+22         0.16659             
0.8665         2.1648e+22          0.165499            
0.867          2.15e+22            0.164368            
0.8675         2.13573e+22         0.163277            
0.868          2.12146e+22         0.162186            
0.8685         2.10719e+22         0.161095            
0.869          2.09292e+22         0.160004            
0.8695         2.07865e+22         0.158913            
0.87           2.06438e+22         0.157822            
0.8705         2.05064e+22         0.156771            
0.871          2.03637e+22         0.155681            
0.8715         2.02263e+22         0.15463             
0.872          2.00836e+22         0.153539            
0.8725         1.99462e+22         0.152489            
0.873          1.98088e+22         0.151438            
0.8735         1.96713e+22         0.150387            
0.874          1.95286e+22         0.149297            
0.8745         1.93912e+22         0.148246            
0.875          1.92591e+22         0.147236            
0.8755         1.91217e+22         0.146185            
0.876          1.89843e+22         0.145135            
0.8765         1.88521e+22         0.144125            
0.877          1.87147e+22         0.143074            
0.8775         1.85826e+22         0.142064            
0.878          1.84452e+22         0.141013            
0.8785         1.83131e+22         0.140003            
0.879          1.81809e+22         0.138993            
0.8795         1.80488e+22         0.137983            
0.88           1.79167e+22         0.136973            
0.8805         1.77845e+22         0.135963            
0.881          1.76524e+22         0.134953            
0.8815         1.75203e+22         0.133943            
0.882          1.73934e+22         0.132973            
0.8825         1.72613e+22         0.131963            
0.883          1.71345e+22         0.130993            
0.8835         1.70076e+22         0.130023            
0.884          1.68755e+22         0.129013            
0.8845         1.67487e+22         0.128043            
0.885          1.66218e+22         0.127074            
0.8855         1.6495e+22          0.126104            
0.886          1.63681e+22         0.125134            
0.8865         1.62413e+22         0.124165            
0.887          1.61197e+22         0.123235            
0.8875         1.59929e+22         0.122266            
0.888          1.5866e+22          0.121296            
0.8885         1.57445e+22         0.120367            
0.889          1.56176e+22         0.119397            
0.8895         1.54961e+22         0.118467            
0.89           1.53745e+22         0.117538            
0.8905         1.5253e+22          0.116609            
0.891          1.51314e+22         0.11568             
0.8915         1.50098e+22         0.11475             
0.892          1.48883e+22         0.113821            
0.8925         1.47667e+22         0.112892            
0.893          1.46452e+22         0.111962            
0.8935         1.45289e+22         0.111073            
0.894          1.44073e+22         0.110144            
0.8945         1.42911e+22         0.109255            
0.895          1.41748e+22         0.108366            
0.8955         1.40532e+22         0.107437            
0.896          1.3937e+22          0.106548            
0.8965         1.38207e+22         0.105659            
0.897          1.37044e+22         0.10477             
0.8975         1.35881e+22         0.103881            
0.898          1.34719e+22         0.102992            
0.8985         1.33609e+22         0.102144            
0.899          1.32446e+22         0.101255            
0.8995         1.31283e+22         0.100366            
0.9            1.30173e+22         0.0995175           
0.9005         1.29011e+22         0.0986286           
0.901          1.27901e+22         0.0977801           
0.9015         1.26791e+22         0.0969316           
0.902          1.25681e+22         0.0960831           
0.9025         1.24571e+22         0.0952346           
0.903          1.23461e+22         0.0943861           
0.9035         1.22351e+22         0.0935376           
0.904          1.21241e+22         0.0926891           
0.9045         1.20132e+22         0.0918406           
0.905          1.19075e+22         0.0910325           
0.9055         1.17965e+22         0.090184            
0.906          1.16908e+22         0.0893759           
0.9065         1.15798e+22         0.0885274           
0.907          1.14741e+22         0.0877193           
0.9075         1.13684e+22         0.0869112           
0.908          1.12574e+22         0.0860627           
0.9085         1.11517e+22         0.0852546           
0.909          1.1046e+22          0.0844465           
0.9095         1.09456e+22         0.0836788           
0.91           1.08399e+22         0.0828707           
0.9105         1.07341e+22         0.0820626           
0.911          1.06284e+22         0.0812545           
0.9115         1.0528e+22          0.0804868           
0.912          1.04223e+22         0.0796787           
0.9125         1.03219e+22         0.078911            
0.913          1.02215e+22         0.0781433           
0.9135         1.01211e+22         0.0773756           
0.914          1.00207e+22         0.0766079           
0.9145         9.92024e+21         0.0758402           
0.915          9.81982e+21         0.0750725           
0.9155         9.7194e+21          0.0743048           
0.916          9.61898e+21         0.0735371           
0.9165         9.51856e+21         0.0727694           
0.917          9.42343e+21         0.0720421           
0.9175         9.32301e+21         0.0712744           
0.918          9.22788e+21         0.0705471           
0.9185         9.12746e+21         0.0697795           
0.919          9.03233e+21         0.0690522           
0.9195         8.9372e+21          0.0683249           
0.92           8.84206e+21         0.0675976           
0.9205         8.74693e+21         0.0668703           
0.921          8.6518e+21          0.066143            
0.9215         8.55667e+21         0.0654157           
0.922          8.46153e+21         0.0646884           
0.9225         8.3664e+21          0.0639611           
0.923          8.27655e+21         0.0632742           
0.9235         8.18142e+21         0.062547            
0.924          8.09157e+21         0.0618601           
0.9245         8.00172e+21         0.0611732           
0.925          7.90659e+21         0.0604459           
0.9255         7.81674e+21         0.059759            
0.926          7.7269e+21          0.0590721           
0.9265         7.63705e+21         0.0583852           
0.927          7.5472e+21          0.0576984           
0.9275         7.45735e+21         0.0570115           
0.928          7.37279e+21         0.056365            
0.9285         7.28294e+21         0.0556781           
0.929          7.1931e+21          0.0549912           
0.9295         7.10853e+21         0.0543447           
0.93           7.01869e+21         0.0536579           
0.9305         6.93412e+21         0.0530114           
0.931          6.84956e+21         0.0523649           
0.9315         6.765e+21           0.0517184           
0.932          6.67515e+21         0.0510315           
0.9325         6.59059e+21         0.050385            
0.933          6.51131e+21         0.049779            
0.9335         6.42675e+21         0.0491325           
0.934          6.34219e+21         0.048486            
0.9345         6.25762e+21         0.0478395           
0.935          6.17835e+21         0.0472335           
0.9355         6.09378e+21         0.046587            
0.936          6.01451e+21         0.0459809           
0.9365         5.93523e+21         0.0453748           
0.937          5.85067e+21         0.0447283           
0.9375         5.77139e+21         0.0441223           
0.938          5.69211e+21         0.0435162           
0.9385         5.61283e+21         0.0429101           
0.939          5.53356e+21         0.042304            
0.9395         5.45428e+21         0.041698            
0.94           5.38029e+21         0.0411323           
0.9405         5.30101e+21         0.0405262           
0.941          5.22438e+21         0.0399404           
0.9415         5.14774e+21         0.0393545           
0.942          5.07163e+21         0.0387726           
0.9425         4.99606e+21         0.0381949           
0.943          4.92101e+21         0.0376211           
0.9435         4.84649e+21         0.0370514           
0.944          4.77197e+21         0.0364817           
0.9445         4.6985e+21          0.0359201           
0.945          4.62504e+21         0.0353584           
0.9455         4.5521e+21          0.0348008           
0.946          4.4797e+21          0.0342473           
0.9465         4.40782e+21         0.0336978           
0.947          4.33647e+21         0.0331523           
0.9475         4.26565e+21         0.0326109           
0.948          4.19483e+21         0.0320695           
0.9485         4.12506e+21         0.0315361           
0.949          4.05583e+21         0.0310068           
0.9495         3.98659e+21         0.0304775           
0.95           3.91789e+21         0.0299522           
0.9505         3.84971e+21         0.029431            
0.951          3.78153e+21         0.0289098           
0.9515         3.71441e+21         0.0283966           
0.952          3.64781e+21         0.0278875           
0.9525         3.58122e+21         0.0273784           
0.953          3.51516e+21         0.0268734           
0.9535         3.45015e+21         0.0263764           
0.954          3.38514e+21         0.0258794           
0.9545         3.32066e+21         0.0253865           
0.955          3.25671e+21         0.0248976           
0.9555         3.19329e+21         0.0244127           
0.956          3.12987e+21         0.0239278           
0.9565         3.0675e+21          0.0234511           
0.957          3.00514e+21         0.0229743           
0.9575         2.94383e+21         0.0225056           
0.958          2.88305e+21         0.0220409           
0.9585         2.82227e+21         0.0215763           
0.959          2.76202e+21         0.0211157           
0.9595         2.7023e+21          0.0206591           
0.96           2.64311e+21         0.0202065           
0.9605         2.58444e+21         0.0197581           
0.961          2.5263e+21          0.0193136           
0.9615         2.4687e+21          0.0188732           
0.962          2.41109e+21         0.0184328           
0.9625         2.35454e+21         0.0180004           
0.963          2.29851e+21         0.0175721           
0.9635         2.24249e+21         0.0171438           
0.964          2.18753e+21         0.0167236           
0.9645         2.13256e+21         0.0163034           
0.965          2.07865e+21         0.0158913           
0.9655         2.02474e+21         0.0154792           
0.966          1.97189e+21         0.0150751           
0.9665         1.91904e+21         0.0146711           
0.967          1.86672e+21         0.014271            
0.9675         1.81492e+21         0.0138751           
0.968          1.76418e+21         0.0134872           
0.9685         1.71345e+21         0.0130993           
0.969          1.66324e+21         0.0127155           
0.9695         1.61409e+21         0.0123397           
0.97           1.56493e+21         0.0119639           
0.9705         1.51631e+21         0.0115922           
0.971          1.46874e+21         0.0112286           
0.9715         1.42118e+21         0.0108649           
0.972          1.37467e+21         0.0105093           
0.9725         1.32816e+21         0.0101538           
0.973          1.28271e+21         0.0098063           
0.9735         1.23725e+21         0.00945881          
0.974          1.19286e+21         0.00911941          
0.9745         1.14952e+21         0.00878809          
0.975          1.10618e+21         0.00845677          
0.9755         1.06337e+21         0.00812949          
0.976          1.02162e+21         0.00781029          
0.9765         9.80396e+20         0.00749513          
0.977          9.39701e+20         0.00718401          
0.9775         8.99533e+20         0.00687693          
0.978          8.60423e+20         0.00657794          
0.9785         8.21842e+20         0.00628298          
0.979          7.84317e+20         0.0059961           
0.9795         7.47321e+20         0.00571327          
0.98           7.11382e+20         0.00543851          
0.9805         6.75971e+20         0.0051678           
0.981          6.41089e+20         0.00490113          
0.9815         6.07793e+20         0.00464658          
0.982          5.74496e+20         0.00439202          
0.9825         5.42785e+20         0.00414959          
0.983          5.11603e+20         0.00391121          
0.9835         4.81266e+20         0.00367928          
0.984          4.51775e+20         0.00345382          
0.9845         4.2313e+20          0.00323483          
0.985          3.95277e+20         0.00302189          

