r [R_sun]      e #density [cm**-3] e #density [eV**3]  
0.179          2.19382e+25         167.718             
0.1795         2.18373e+25         166.946             
0.18           2.17412e+25         166.211             
0.1805         2.1645e+25          165.476             
0.181          2.15436e+25         164.701             
0.1815         2.14473e+25         163.964             
0.182          2.13508e+25         163.227             
0.1825         2.12542e+25         162.488             
0.183          2.11576e+25         161.75              
0.1835         2.10659e+25         161.049             
0.184          2.09691e+25         160.309             
0.1845         2.08721e+25         159.567             
0.185          2.07801e+25         158.864             
0.1855         2.0683e+25          158.122             
0.186          2.05909e+25         157.417             
0.1865         2.04936e+25         156.673             
0.187          2.04013e+25         155.968             
0.1875         2.03089e+25         155.262             
0.188          2.02164e+25         154.555             
0.1885         2.01239e+25         153.848             
0.189          2.00313e+25         153.139             
0.1895         1.99386e+25         152.431             
0.19           1.98457e+25         151.721             
0.1905         1.97529e+25         151.011             
0.191          1.9665e+25          150.339             
0.1915         1.95721e+25         149.628             
0.192          1.94789e+25         148.916             
0.1925         1.93908e+25         148.242             
0.193          1.92976e+25         147.53              
0.1935         1.92093e+25         146.855             
0.194          1.9121e+25          146.18              
0.1945         1.90326e+25         145.504             
0.195          1.89443e+25         144.829             
0.1955         1.88558e+25         144.152             
0.196          1.87671e+25         143.475             
0.1965         1.86785e+25         142.797             
0.197          1.85898e+25         142.119             
0.1975         1.8501e+25          141.44              
0.198          1.84122e+25         140.761             
0.1985         1.83284e+25         140.12              
0.199          1.82394e+25         139.44              
0.1995         1.81555e+25         138.799             
0.2            1.80665e+25         138.118             
0.2005         1.79823e+25         137.475             
0.201          1.78983e+25         136.833             
0.2015         1.78091e+25         136.151             
0.202          1.77248e+25         135.506             
0.2025         1.76406e+25         134.862             
0.203          1.75563e+25         134.218             
0.2035         1.74719e+25         133.573             
0.204          1.73875e+25         132.927             
0.2045         1.73082e+25         132.321             
0.205          1.72236e+25         131.674             
0.2055         1.7139e+25          131.028             
0.206          1.70595e+25         130.42              
0.2065         1.69748e+25         129.773             
0.207          1.68952e+25         129.164             
0.2075         1.68104e+25         128.515             
0.208          1.67307e+25         127.906             
0.2085         1.6651e+25          127.297             
0.209          1.6566e+25          126.647             
0.2095         1.64861e+25         126.037             
0.21           1.64063e+25         125.426             
0.2105         1.63263e+25         124.814             
0.211          1.62463e+25         124.203             
0.2115         1.61663e+25         123.591             
0.212          1.60914e+25         123.018             
0.2125         1.60112e+25         122.405             
0.213          1.59311e+25         121.793             
0.2135         1.5856e+25          121.219             
0.214          1.57757e+25         120.606             
0.2145         1.57006e+25         120.031             
0.215          1.56203e+25         119.417             
0.2155         1.55451e+25         118.842             
0.216          1.54698e+25         118.267             
0.2165         1.53894e+25         117.652             
0.217          1.5314e+25          117.076             
0.2175         1.52387e+25         116.5               
0.218          1.51632e+25         115.923             
0.2185         1.50878e+25         115.346             
0.219          1.50123e+25         114.769             
0.2195         1.49368e+25         114.192             
0.22           1.48613e+25         113.614             
0.2205         1.47908e+25         113.076             
0.221          1.47152e+25         112.498             
0.2215         1.46395e+25         111.919             
0.222          1.4569e+25          111.38              
0.2225         1.44933e+25         110.801             
0.223          1.44227e+25         110.261             
0.2235         1.43521e+25         109.722             
0.224          1.42763e+25         109.142             
0.2245         1.42056e+25         108.602             
0.225          1.41349e+25         108.061             
0.2255         1.40641e+25         107.52              
0.226          1.39933e+25         106.979             
0.2265         1.39225e+25         106.438             
0.227          1.38517e+25         105.896             
0.2275         1.37808e+25         105.354             
0.228          1.371e+25           104.813             
0.2285         1.3639e+25          104.27              
0.229          1.35732e+25         103.767             
0.2295         1.35023e+25         103.225             
0.23           1.34313e+25         102.682             
0.2305         1.33655e+25         102.179             
0.231          1.32995e+25         101.675             
0.2315         1.32285e+25         101.132             
0.232          1.31625e+25         100.627             
0.2325         1.30914e+25         100.084             
0.233          1.30254e+25         99.5795             
0.2335         1.29595e+25         99.0751             
0.234          1.28934e+25         98.5701             
0.2345         1.28273e+25         98.065              
0.235          1.27613e+25         97.5603             
0.2355         1.26952e+25         97.0551             
0.236          1.26291e+25         96.5497             
0.2365         1.25629e+25         96.0437             
0.237          1.2502e+25          95.5776             
0.2375         1.24358e+25         95.0715             
0.238          1.23696e+25         94.5658             
0.2385         1.23086e+25         94.099              
0.239          1.22423e+25         93.5926             
0.2395         1.21813e+25         93.1257             
0.24           1.21149e+25         92.6186             
0.2405         1.20538e+25         92.1515             
0.241          1.19927e+25         91.6844             
0.2415         1.19264e+25         91.1771             
0.242          1.18652e+25         90.7093             
0.2425         1.1804e+25          90.2414             
0.243          1.17428e+25         89.7735             
0.2435         1.16816e+25         89.3055             
0.244          1.16203e+25         88.8369             
0.2445         1.1559e+25          88.3687             
0.245          1.14977e+25         87.9                
0.2455         1.14364e+25         87.4313             
0.246          1.13751e+25         86.963              
0.2465         1.1319e+25          86.5336             
0.247          1.12576e+25         86.0642             
0.2475         1.12014e+25         85.6347             
0.248          1.114e+25           85.1657             
0.2485         1.10839e+25         84.7361             
0.249          1.10224e+25         84.2665             
0.2495         1.09662e+25         83.8363             
0.25           1.09048e+25         83.367              
0.2505         1.08485e+25         82.9368             
0.251          1.07922e+25         82.5065             
0.2515         1.07359e+25         82.0761             
0.252          1.06796e+25         81.6452             
0.2525         1.06181e+25         81.1753             
0.253          1.05617e+25         80.7443             
0.2535         1.05054e+25         80.3138             
0.254          1.04542e+25         79.9222             
0.2545         1.03978e+25         79.4912             
0.255          1.03415e+25         79.0605             
0.2555         1.02851e+25         78.6293             
0.256          1.02286e+25         78.1977             
0.2565         1.01774e+25         77.8059             
0.257          1.01209e+25         77.3747             
0.2575         1.00697e+25         76.9829             
0.258          1.00132e+25         76.5511             
0.2585         9.96196e+24         76.1592             
0.259          9.90547e+24         75.7273             
0.2595         9.85414e+24         75.3349             
0.26           9.80282e+24         74.9425             
0.2605         9.74637e+24         74.511              
0.261          9.69503e+24         74.1185             
0.2615         9.64369e+24         73.726              
0.262          9.59234e+24         73.3335             
0.2625         9.54094e+24         72.9405             
0.263          9.48958e+24         72.5479             
0.2635         9.43823e+24         72.1552             
0.264          9.38681e+24         71.7621             
0.2645         9.33544e+24         71.3695             
0.265          9.28407e+24         70.9767             
0.2655         9.23782e+24         70.6231             
0.266          9.18644e+24         70.2303             
0.2665         9.135e+24           69.8371             
0.267          9.08357e+24         69.4439             
0.2675         9.03735e+24         69.0905             
0.268          8.9859e+24          68.6972             
0.2685         8.93963e+24         68.3435             
0.269          8.88818e+24         67.9501             
0.2695         8.8419e+24          67.5963             
0.27           8.79566e+24         67.2428             
0.2705         8.7442e+24          66.8494             
0.271          8.69791e+24         66.4955             
0.2715         8.65161e+24         66.1416             
0.272          8.60532e+24         65.7876             
0.2725         8.55902e+24         65.4337             
0.273          8.51266e+24         65.0793             
0.2735         8.46636e+24         64.7253             
0.274          8.42005e+24         64.3713             
0.2745         8.37373e+24         64.0172             
0.275          8.32742e+24         63.6631             
0.2755         8.2811e+24          63.309              
0.276          8.23473e+24         62.9545             
